numero_colombia,nombre_colombia,encontrado,orpha_number,orpha_url,nombre_orphanet,codigos_cie10_orphanet,metodo_encontrado,similitud_nombre,error,codigo_cie10_colombia,observaciones_colombia
750,DITRA (deficiencia de antagonista del receptor de 1L-36),False,,,,[],,0,No encontrado por ningún método de búsqueda,L401,
751,Drepanocitosis,False,,,,[],,0,No encontrado por ningún método de búsqueda,D570,
751,Drepanocitosis,False,,,,[],,0,No encontrado por ningún método de búsqueda,D571,
751,Drepanocitosis,False,,,,[],,0,No encontrado por ningún método de búsqueda,D572,
751,Drepanocitosis,False,,,,[],,0,No encontrado por ningún método de búsqueda,D573,
751,Drepanocitosis,False,,,,[],,0,No encontrado por ningún método de búsqueda,D578,
752,Duplicación 12p,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q923,Código corregido de 0923 a Q923
753,Duplicación 6p,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q923,Código corregido de 0923 a Q923
754,Duplicación de cejas - sindactilia,False,,,,[],,0,No encontrado por ningún método de búsqueda,XXXX,
755,Duplicación de la pierna y del pie en espejo,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q748,Código corregido de 0748 a Q748
756,Ectopia de cristalino coriorefinana distrofia miopía,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q158,Código corregido de 0158 a Q158
757,Ectopia de cristalino forma familiar,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q121,Código corregido de 0121 a Q121
758,Ectopia tiroidea,False,,,,[],,0,No encontrado por ningún método de búsqueda,E031,
759,Ectrodactilia displasia ectodérmica,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q824,Código corregido de 0824 a Q824
760,Embriopatia por aminopterina,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q868,Código corregido de 0868 a Q868
761,Embriopatia por antitiroideos,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q868,Código corregido de 0868 a Q868
762,Embriopatia por talidomida,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q868,Código corregido de 0868 a Q868
763,Embriopatia por virus de la varicela,False,,,,[],,0,No encontrado por ningún método de búsqueda,P358,
764,Enanismo de MUL1BREY,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q871,Código corregido de 0871 a Q871
765,Enanismo diastrófico,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q775,Código corregido de 0775 a Q775
766,Enanismo hiperostótico de Lenz-Majewski,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q871,Código corregido de 0871 a Q871
767,Enanismo metatrópico,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q778,Código corregido de 0778 a Q778
768,Enanismo microcefálico osteodisplásico primordial,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q871,Código corregido de 0871 a Q871
769,Enanismo osteocondrodisplásico - sordera - retinitis pigmentosa,False,,,,[],,0,No encontrado por ningún método de búsqueda,XXXX,
770,Enanismo retraso mental anomalias oculares fisura labiopalatina,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,Código corregido de 0878 a Q878
771,Enanismo tanatofórico,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q771,Código corregido de 0771 a Q771
772,Encefalitis focal de Rasmussen,False,,,,[],,0,No encontrado por ningún método de búsqueda,G048,
773,Encefalomiopatia mitocondrial infantil asociada con FASTKD2,False,,,,[],,0,No encontrado por ningún método de búsqueda,G713,
774,Encefalopatía aguda necrosante familiar,False,,,,[],,0,No encontrado por ningún método de búsqueda,G938,
775,"Encefalopatía con cuerpos de inclusión de neuroserpina, forma familiar",False,,,,[],,0,No encontrado por ningún método de búsqueda,G318,
777,Encefalopatía debida a una deficiencia de prosaposina,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
778,Encefalopatia debido a deficiencia de urocanasa,False,,,,[],,0,No encontrado por ningún método de búsqueda,E708,
779,Encefalopatía debido a la hidroxi-quinurenina,False,,,,[],,0,No encontrado por ningún método de búsqueda,E708,
780,Encefalopatia epiléptica infantil temprana,False,,,,[],,0,No encontrado por ningún método de búsqueda,G403,
781,"Encefalopatia grave de aparicion neonatal, autosómica dominante",False,,,,[],,0,No encontrado por ningún método de búsqueda,G404,
782,Encefalopatia mioclonica temprana,False,,,,[],,0,No encontrado por ningún método de búsqueda,G403,
783,Encefalopatia provocada por Déficit de sulfito oxidasa,False,,,,[],,0,No encontrado por ningún método de búsqueda,E721,
784,"Encefalopatia, etilmalonica",False,,,,[],,0,No encontrado por ningún método de búsqueda,G318,
785,Encefalopatias espongiformes transmisibles (término genérico),False,,,,[],,0,No encontrado por ningún método de búsqueda,A810,
785,Encefalopatias espongiformes transmisibles (término genérico),False,,,,[],,0,No encontrado por ningún método de búsqueda,A811,
785,Encefalopatias espongiformes transmisibles (término genérico),False,,,,[],,0,No encontrado por ningún método de búsqueda,A818,
785,Encefalopatias espongiformes transmisibles (término genérico),False,,,,[],,0,No encontrado por ningún método de búsqueda,A819,
786,Encondromatosis,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q784,Código corregido de 0784 a Q784
787,Enfermedad autoinfiamatoria debido a deficiencia de antagonista del receptor de interleuquina 1,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q848,Código corregido de 0848 a Q848
788,Enfermedad de Alexander,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
789,Enfermedad de almacenamiento de glucógeno por Déficit de fosforilasa quinasa muscular,False,,,,[],,0,No encontrado por ningún método de búsqueda,E740,
790,Enfermedad de Alzheimer autosómica dominante de aparición temprana,False,,,,[],,0,No encontrado por ningún método de búsqueda,G300,
791,Enfermedad de Behget,False,,,,[],,0,No encontrado por ningún método de búsqueda,M352,
792,Enfermedad de Best,False,,,,[],,0,No encontrado por ningún método de búsqueda,H355,
793,Enfermedad de Blackfan-Diamond,False,,,,[],,0,No encontrado por ningún método de búsqueda,D610,
794,Enfermedad de Buercier,False,,,,[],,0,No encontrado por ningún método de búsqueda,I731,
795,Enfermedad de Canavan,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
796,Enfermedad de Caroli,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q446,Código corregido de 0446 a Q446
797,Enfermedad de Castleman,False,,,,[],,0,No encontrado por ningún método de búsqueda,D360,
798,Enfermedad de Coats,False,,,,[],,0,No encontrado por ningún método de búsqueda,H350,
799,Enfermedad de Creutzfeldt-Jakob,False,,,,[],,0,No encontrado por ningún método de búsqueda,A810,
800,Enfermedad de Crohn,False,,,,[],,0,No encontrado por ningún método de búsqueda,K509,
801,Enfermedad de Crouzon,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q751,Código corregido de 0751 a Q751
802,Enfermedad de Cushing,False,,,,[],,0,No encontrado por ningún método de búsqueda,E240,
803,Enfermedad de Darier,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q828,Código corregido de 0828 a Q828
804,Enfermedad de Dent,False,,,,[],,0,No encontrado por ningún método de búsqueda,N258,
805,Enfermedad de depósito de glucógeno por Déficit de LAMP-2,False,,,,[],,0,No encontrado por ningún método de búsqueda,E740,
806,Enfermedad de depósito lisosomal no especificada,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
807,Neuromielitis óptica espectro,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q360,Código corregido de 0360 a Q360
808,Enfermedad de Elejalde,False,,,,[],,0,No encontrado por ningún método de búsqueda,L814,
809,Enfermedad de Erdheim-Chester,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q763,Código corregido de 0763 a Q763
810,Enfermedad de Fabry,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
811,Enfermedad de Gaucher,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
812,Enfermedad de Gaucher - oftalmoplejía - calcificación cardiovascular,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
813,Enfermedad de Gaucher tipo 1,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
814,Enfermedad de Gaucher tipo 2,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
815,Enfermedad de Gaucher tipo 3,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
816,Enfermedad de Griscelli,False,,,,[],,0,No encontrado por ningún método de búsqueda,E703,
817,Enfermedad de Grfisbeck-Imerslund,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q511,Código corregido de 0511 a Q511
818,Enfermedad de Hirschsprunq,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q431,Código corregido de 0431 a Q431
819,Enfermedad de Huntington,False,,,,[],,0,No encontrado por ningún método de búsqueda,G1OX,
821,Enfermedad de Kennedy,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q122,Código corregido de 0122 a Q122
822,Enfermedad de Kimura,False,,,,[],,0,No encontrado por ningún método de búsqueda,I898,
823,Enfermedad de Krabbe,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
824,Enfermedad de la arteria coronaria - hiperlipidemia - hipertensión - diabetes - osteoporosis,False,,,,[],,0,No encontrado por ningún método de búsqueda,XXXX,
825,Enfermedad de la motoneurona inferior autosómica recesiva de la infancia,False,,,,[],,0,No encontrado por ningún método de búsqueda,G122,
826,Enfermedad de las neuronas motoras patrón Madras,False,,,,[],,0,No encontrado por ningún método de búsqueda,G122,
827,Enfermedad de Letterer-Siwe,False,,,,[],,0,No encontrado por ningún método de búsqueda,C960,
828,Enfermedad de Lhermitte-Duclos,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q048,
829,Enfermedad de McCardle,False,,,,[],,0,No encontrado por ningún método de búsqueda,E740,
830,Enfermedad de Moya-Moya,False,,,,[],,0,No encontrado por ningún método de búsqueda,1675,
831,Enfermedad de Netherton,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q808,Código corregido de 0808 a Q808
832,Enfermedad de Niemann-Pick,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
833,Enfermedad de Niemann-Pick tipo A,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
834,Enfermedad de Niemann-Pick tipo B,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
835,Enfermedad de Niemann-Pick tipo C,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
836,Enfermedad de Nonie,False,,,,[],,0,No encontrado por ningún método de búsqueda,H355,
837,Enfermedad de orina con olor a jarabe de arce,False,,,,[],,0,No encontrado por ningún método de búsqueda,E710,
838,Enfermedad de Paget juvenil,False,,,,[],,0,No encontrado por ningún método de búsqueda,M889,
839,Enfermedad de Pelizaeus-Merzbacher,False,,,,[],,0,No encontrado por ningún método de búsqueda,E752,
840,Enfermedad de Pompe,False,,,,[],,0,No encontrado por ningún método de búsqueda,E740,
841,Enfermedad de Pyle,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q785,Código corregido de 0785 a Q785
842,Enfermedad de Refsum,False,,,,[],,0,No encontrado por ningún método de búsqueda,G601,
843,"Enfermedad de Refsum, forma infantil",False,,,,[],,0,No encontrado por ningún método de búsqueda,G601,
844,Telangiestasia Hereditaria familiar (Rendu Osler Weber),False,,,,[],,0,No encontrado por ningún método de búsqueda,I780,
845,Enfermedad de Sandhoff,False,,,,[],,0,No encontrado por ningún método de búsqueda,E750,
846,Enfermedad de sintesis de acidos biliares,False,,,,[],,0,No encontrado por ningún método de búsqueda,K768,
847,Enfermedad de Stargardt,False,,,,[],,0,No encontrado por ningún método de búsqueda,H355,
848,Enfermedad de Still del adulto,False,,,,[],,0,No encontrado por ningún método de búsqueda,M061,
849,Enfermedad de Takayasu,False,,,,[],,0,No encontrado por ningún método de búsqueda,M314,
850,Enfermedad de Tangier,False,,,,[],,0,No encontrado por ningún método de búsqueda,E786,
851,Enfermedad de Tay-Sachs,False,,,,[],,0,No encontrado por ningún método de búsqueda,E750,
852,Enfermedad de Thomsen y Becker,False,,,,[],,0,No encontrado por ningún método de búsqueda,G711,
853,Enfermedad de Unverricht-Lundborg,False,,,,[],,0,No encontrado por ningún método de búsqueda,G403,
854,Enfermedad de Upington,False,,,,[],,0,No encontrado por ningún método de búsqueda,M918,
855,Enfermedad de von Hippel-Lindau,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q858,Código corregido de 0858 a Q858
856,Enfermedad de Von Willebrand,False,,,,[],,0,No encontrado por ningún método de búsqueda,D680,
857,Enfermedad de Von Willebrand adquirida,False,,,,[],,0,No encontrado por ningún método de búsqueda,D684,
858,Enfermedad de Wegener,False,,,,[],,0,No encontrado por ningún método de búsqueda,M313,
859,Enfermedad de Whipple,False,,,,[],,0,No encontrado por ningún método de búsqueda,K908,
860,Enfermedad de Wilson,False,,,,[],,0,No encontrado por ningún método de búsqueda,E830,
861,Enfermedad de Wolman,False,,,,[],,0,No encontrado por ningún método de búsqueda,E755,
862,Enfermedad del rifion poliquistico autosómica dominante de tipo 1 y con esclerosis tuberosa,False,,,,[],,0,No encontrado por ningún método de búsqueda,XXXX,
863,"Enfermedad del riñón quistico medular, autosómica recesiva",False,,,,[],,0,No encontrado por ningún método de búsqueda,Q611,
864,Enfermedad qranulomatosa crónica,False,,,,[],,0,No encontrado por ningún método de búsqueda,D71X,
865,Enfermedad hemorragica debido a mutación Pittsburgh en alfa 1-antripsina,False,,,,[],,0,No encontrado por ningún método de búsqueda,D688,
866,Enfermedad hepática vena-oclusiva -inmunodeficiencia,False,,,,[],,0,No encontrado por ningún método de búsqueda,K765,
867,Enfermedad leuco-proliferativa autoinmune asociada RAS (RALD),False,,,,[],,0,No encontrado por ningún método de búsqueda,D728,
868,Enfermedad mitocondrial fatal debida a una deficiencia de fosforilación oxidativa tipo 3 combinada,False,,,,[],,0,No encontrado por ningún método de búsqueda,E888,
869,Enfermedad mitocondrial no especificada,False,,,,[],,0,No encontrado por ningún método de búsqueda,XXXX,
870,Enfermedad mixta del tejido conectivo,False,,,,[],,0,No encontrado por ningún método de búsqueda,M351,
871,Enfermedad neurodegenerativa progresiva - hiperlaxitud articular - cataratas,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,
872,Enfermedad por almacenamiento de esteres de colesterol,False,,,,[],,0,No encontrado por ningún método de búsqueda,E755,
873,Enfermedad por depósito de lipidos neutros,False,,,,[],,0,No encontrado por ningún método de búsqueda,E755,
874,Enfermedad quistica medular autosómica dominante,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q615,
875,Enfermedad veno-oclusiva hepática,False,,,,[],,0,No encontrado por ningún método de búsqueda,K765,
876,Enfermedades hematológicas no especificadas,False,,,,[],,0,No encontrado por ningún método de búsqueda,XXXX,
877,Enfermedad tubular renal - cardiomiopatia,False,,,,[],,0,No encontrado por ningún método de búsqueda,1422,
878,Enfisema lobar congénito,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q338,
879,Epidermodisplasia verruciforme 1 (Mutación en EVER 1),False,,,,[],,0,No encontrado por ningún método de búsqueda,607X,
880,Epidermólisis ampollar adquirida,False,,,,[],,0,No encontrado por ningún método de búsqueda,L123,
881,Epidermólisis ampollosa distrófica,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q812,
882,Epidermólisis ampollosa epidermolitica,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q812,
883,Epidermólisis ampollosa hereditaria,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q818,
884,Epidermólisis ampollosa juntural,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q818,
885,Epilepsia con crisis parciales migrantes del lactante,False,,,,[],,0,No encontrado por ningún método de búsqueda,G404,
886,Epilepsia demencia amelogénesis imperfecta,False,,,,[],,0,No encontrado por ningún método de búsqueda,G408,
887,Epilepsia microcefalia displasia esquelética,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q878,Código corregido de 0878 a Q878
888,Epilepsia mioclónica de la infancia,False,,,,[],,0,No encontrado por ningún método de búsqueda,G403,
889,"Eritermalgia, primaria",False,,,,[],,0,No encontrado por ningún método de búsqueda,I738,
890,Eritrodermia congénita ictiosiforme ampollosa,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q802,
891,Eritrodermia congénita letal,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q828,
892,Eritroqueratodermia ataxia,False,,,,[],,0,No encontrado por ningún método de búsqueda,G111,
893,Eritroqueratodermia variable de Mendes da Costa,False,,,,[],,0,No encontrado por ningún método de búsqueda,Q828,
894,Erliquiosis,False,,,,[],,0,No encontrado por ningún método de búsqueda,A488,
